dataset,model,f1,log_loss,fit,proba,status,note
covertype_bin,sklearn RF,0.9238,0.1718,4.334,0.21,,
covertype_bin,sklearn HistGBM,0.7369,0.5668,2.377,0.076,,
covertype_bin,fastforest,0.9255025066656896,0.156940296292305,0.5910142920329235,0.0370656250161118,,
covertype_group,fastforest,0.9244453604176934,0.1554055660963058,0.4487332919961773,0.0552357499836944,,
adult,fastforest,0.7966956457273902,0.307642787694931,0.0673827500431798,0.0067322920076549,,
bank,fastforest,0.7323764427345368,0.2097118347883224,0.0531630840268917,0.0062860419857315,,
covertype_bin,fastforest tuned,0.9255025066656896,0.156940296292305,1.5924273330019787,0.0393000419717282,,
covertype_group,fastforest tuned,0.9244453604176934,0.1554055660963058,1.3717612500186078,0.0571115839993581,,
adult,fastforest tuned,0.7915775805636767,0.304775208234787,0.1745673749828711,0.0054110410274006,,
bank,fastforest tuned,0.6916675106591592,0.2229654043912887,0.1523535419837571,0.0052107919473201,,
adult,sklearn RF,0.8014091304985578,0.3658823129882771,0.9637496250215918,0.0261306249885819,,
bank,sklearn RF,0.721355351097995,0.2278995470495445,0.2896592909819446,0.024541666964069,,
adult,sklearn HistGBM,0.8201327991191583,0.2745992818334716,1.4246936669806018,0.0270438750158064,,
bank,sklearn HistGBM,0.7626276134742024,0.19616957766419688,1.3701865840121172,0.02597399998921901,,
