dataset,model,rmse,r2,fit,predict,status,note
sgemm,sklearn RF,0.03,1.0,1.86,0.136,,
sgemm,sklearn HistGBM,0.2,0.97,1.23,0.022,,
california,sklearn RF,0.51,0.8,0.44,0.013,,
california,sklearn HistGBM,0.47,0.83,0.96,0.006,,
concrete,sklearn RF,5.46,0.88,0.06,0.013,,
concrete,sklearn HistGBM,4.65,0.92,0.78,0.005,,
allstate,sklearn RF,,,,,timeout,timed out at 180s with 50 trees
diamonds,sklearn RF,550.0859742021207,0.9809650891568692,0.9685126660042442,0.0318830410251393,,
diabetes,sklearn RF,2.1973959751113568,0.4452542389960807,5.168230874987785,0.1583538330160081,,
walmart,sklearn RF,5027.576305155864,0.947330374139986,13.528157958993688,0.1104452909785322,,
rossmann,sklearn RF,0.2581680228340732,0.6113964933207383,20.18043604196282,0.0778732079779729,,
diamonds,sklearn HistGBM,540.5929177358439,0.9816164065500655,1.2672732909559272,0.0182424170197919,,
allstate,sklearn HistGBM,1860.807130241631,0.5756405616031433,4.289078791975044,0.3618833750369958,,
diabetes,sklearn HistGBM,2.128808528927512,0.4793443974991238,2.3523577919695526,0.1468933750293217,,
walmart,sklearn HistGBM,6604.209706520661,0.9091165924030148,2.2959499579737894,0.0650447090156376,,
rossmann,sklearn HistGBM,0.3038527146485683,0.4616954394195157,2.872893124993425,0.0506642920081503,,
ashrae,sklearn HistGBM,1.430764147416102,0.5493544189673963,28.746874709031545,0.8558232920477167,,
ashrae,sklearn RF,,,,,timeout,timed out
bluebook,sklearn RF,,,,,timeout,timed out
bluebook,sklearn HistGBM,0.2471022196049961,0.8880694676836592,5.774705749936402,0.0955289580160752,,
sgemm,fastforest,0.0585796816149202,0.9972264766693116,0.0741734589682892,0.0167406669352203,,
california,fastforest,0.4981273511307008,0.8106462359428406,0.1062027909792959,0.0030648750253021,,
concrete,fastforest,5.697534784308754,0.8740229606628418,0.006773707922548,0.0003878750139847,,
diamonds,fastforest,545.2633538025456,0.9812973737716676,0.1306637920206412,0.0084094590274617,,
allstate,fastforest,1924.3468372411455,0.5461651086807251,0.8988746659597382,0.0507654999382793,,
diabetes,fastforest,2.195095933977099,0.4464149475097656,0.346065083052963,0.0237258330453187,,
walmart,fastforest,3613.477549397533,0.9727922081947328,0.390972041990608,0.0248365420848131,,
rossmann,fastforest,0.154255227612814,0.8612664341926575,0.510611666017212,0.0332002079812809,,
bluebook,fastforest,0.2659182612613298,0.8703741431236267,0.8520661250222474,0.0128697908949106,,
ashrae,fastforest,0.9788595421342298,0.7890692949295044,0.9809810409788042,1.1608562920009715,,
sgemm,AutoForest,0.0357981305251863,0.998964250087738,0.307910667033866,0.0140291670104488,,
sgemm,autogrow,0.0354867047341277,0.9989821910858154,0.8095849169185385,0.0446498750243335,,
diabetes,AutoForest,2.1910425112076646,0.4484575390815735,0.7271283749723807,0.0227490830002352,,
diabetes,autogrow,2.193536114386911,0.4472013711929321,1.2796945000300184,0.0257007920881733,,
allstate,AutoForest,1922.3773693008352,0.5470936298370361,2.6553020830033347,0.0527430829824879,,
allstate,autogrow,1910.7596656827357,0.55255126953125,4.242377124959603,0.0598645830759778,,
walmart,AutoForest,2795.1111784685777,0.9837204813957214,2.423685458023101,0.0212634579511359,,
ashrae,AutoForest,0.8431070845321559,0.8435179591178894,5.762917916988954,1.0345785419922322,,
ashrae,autogrow,0.8259541470383184,0.8498204350471497,15.656074458034707,1.9326393749797717,,
walmart,autogrow,2729.510578840097,0.9844756722450256,6.784371667075902,0.0510421250946819,,
rossmann,AutoForest,0.1252687812941409,0.9085070490837096,3.0006389999762177,0.0332850830163806,,
rossmann,autogrow,0.12087724543071704,0.91480952501297,7.370029291021638,0.06477424991317093,,
